"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Frederick","Richard",0.024,0.042,0.275
"Paul","Juda",0.053,0.071,0.269
"Yul","Moldauer",0.027,0.044,0.186
"Connor","McCool",0.028,0.033,0.126
"Donnell","Whittenburg",0.011,0.022,0.121
"Khoi","Young",0.032,0.046,0.112
"Brody","Malone",0.016,0.023,0.107
"Shane","WISKUS",0.02,0.02,0.101
"Asher","Hong",0.021,0.029,0.097
"Matt","CORMIER",0.003,0.006,0.063
"Taylor","BURKHART",0.016,0.021,0.032
"Javier","ALFONSO",0.019,0.016,0.021
"Jeremy","BISCHOFF",0.009,0.016,0.02
"Jackson","HARRISON",0.013,0.014,0.018
"Joshua","KARNES",0.014,0.017,0.016
"Colt","Walker",0.013,0.019,0.015
"Ian","LASIC-ELLIS",0.012,0.012,0.012
"Dallas","HALE",0.005,0.011,0.008
"Riley","Loos",0.006,0.014,0.008
"Michael","ARTLIP",0.002,0.003,0
"Maxim","BEREZNEV",0,0,0
"Landen","BLIXT",0,0,0
"Cameron","BOCK",0.001,0.001,0
"Crew","BOLD",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Alex","Diab",0,0,0
"Isaiah","DRAKE",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Jack","FREEMAN",0.001,0,0
"Ian","GUNTHER",0,0,0
"Kazuki","HAYASHI",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","Jaroh",0,0,0
"Alex","KARADZHOV",0,0,0
"Anthony","KOPPIE",0,0,0
"Toby","LIANG",0,0,0
"Evan","MANIVONG",0,0,0
"Caleb","MELTON",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Samuel","Phillips",0,0,0
"Rithik","PURI",0,0,0
"Ian","SANDOVAL",0,0,0
"Tyler","SHIMIZU",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Ryan","SWATSCHENO",0,0,0
"Oliver","ZAVEL",0,0,0
