"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Brody","Malone",0.043,0.051,0.22
"Frederick","Richard",0.03,0.049,0.125
"Curran","Phillips",0.008,0.008,0.019
"Paul","Juda",0.015,0.01,0.007
"Shane","WISKUS",0.003,0.002,0.001
"Drake","ANDREWS",0,0,0
"Michael","ARTLIP",0,0,0
"Fuzzy","BENAS",0,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Landen","BLIXT",0,0,0
"Cameron","BOCK",0,0,0
"Crew","BOLD",0.001,0.001,0
"Garrett","BRAUNTON",0,0,0
"Brandon","BRIONES",0,0,0
"Taylor","BURKHART",0,0,0
"J.R.","CHOU",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Isaiah","DRAKE",0,0,0
"Will","FLECK",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Jack","FREEMAN",0,0,0
"Ian","GUNTHER",0,0,0
"Dallas","HALE",0,0,0
"Jackson","HARRISON",0,0,0
"Kazuki","HAYASHI",0,0,0
"Asher","Hong",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","Jaroh",0,0,0
"Alex","KARADZHOV",0,0,0
"Joshua","KARNES",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Riley","Loos",0,0,0
"Evan","MANIVONG",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Yul","Moldauer",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Samuel","Phillips",0,0,0
"Rithik","PURI",0,0,0
"Ian","SANDOVAL",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Blake","Sun",0,0,0
"Ryan","SWATSCHENO",0,0,0
"Alex","TAPANES",0,0,0
"Colt","Walker",0,0,0
"Donnell","Whittenburg",0,0,0
"Khoi","Young",0,0,0
"Oliver","ZAVEL",0,0,0
