"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Curran","Phillips",0.035,0.06,0.115
"Colt","Walker",0.037,0.05,0.067
"Yul","Moldauer",0.024,0.058,0.066
"Blake","Sun",0.02,0.027,0.054
"Frederick","Richard",0.014,0.006,0.013
"J.R.","CHOU",0.035,0.03,0.01
"Brody","Malone",0.018,0.011,0.007
"Cameron","BOCK",0.014,0.007,0.005
"Shane","WISKUS",0.012,0.007,0.003
"Javier","ALFONSO",0,0,0
"Drake","ANDREWS",0,0,0
"Michael","ARTLIP",0,0,0
"Fuzzy","BENAS",0,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Landen","BLIXT",0,0,0
"Crew","BOLD",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","BURKHART",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Aidan","CUY",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Isaiah","DRAKE",0,0,0
"Will","FLECK",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Tyler","FLORES",0,0,0
"Ian","GUNTHER",0,0,0
"Dallas","HALE",0,0.001,0
"Kazuki","HAYASHI",0,0,0
"Asher","Hong",0.007,0.005,0
"Patrick","HOOPES",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","Jaroh",0,0,0
"Paul","Juda",0,0,0
"Alex","KARADZHOV",0,0,0
"Joshua","KARNES",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Riley","Loos",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0,0,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Rithik","PURI",0,0,0
"Ian","SANDOVAL",0,0,0
"Noah","SANO",0,0,0
"Tyler","SHIMIZU",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Alex","TAPANES",0,0,0
"Donnell","Whittenburg",0,0,0
"Ignacio","YOCKERS",0,0,0
"Khoi","Young",0,0,0
"Oliver","ZAVEL",0,0,0
