"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Konnor","MCCLAIN",0.096,0.156,0.464
"Simone","Biles",0.09,0.166,0.45
"Sunisa","Lee",0.058,0.082,0.233
"Hezly","RIVERA",0.03,0.061,0.126
"Skye","Blakely",0.019,0.041,0.039
"Shilese","Jones",0.019,0.024,0.03
"Joscelyn","Roberson",0.015,0.01,0.016
"Tiana","Sumanasekera",0.007,0.004,0.002
"Ciena","ALIPIO",0.012,0.002,0.001
"Charlotte","BOOTH",0,0,0
"Jade","Carey",0,0,0
"Dulcy","CAYLOR",0,0,0
"Jordan","Chiles",0.001,0,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Kayla","DiCello",0.001,0.001,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Madray","JOHNSON",0,0,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Myli","LEW",0,0,0
"Kaliya","LINCOLN",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Zoe","MILLER",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Katelyn","ROSEN",0,0,0
"Ashlee","SULLIVAN",0,0,0
"Leanne","Wong",0,0,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
