"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Simone","Biles",0.01,0.072,0.897
"Kaliya","LINCOLN",0.091,0.101,0.109
"Jade","Carey",0.049,0.06,0.067
"Jordan","Chiles",0.034,0.032,0.037
"Joscelyn","Roberson",0.031,0.036,0.037
"Shilese","Jones",0.048,0.044,0.031
"Kayla","DiCello",0.003,0.003,0.003
"Leanne","Wong",0.011,0.005,0.003
"Konnor","MCCLAIN",0.016,0.011,0.002
"Sunisa","Lee",0.005,0.001,0.001
"Ciena","ALIPIO",0,0,0
"Skye","Blakely",0,0,0
"Charlotte","BOOTH",0,0,0
"Dulcy","CAYLOR",0,0,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Madray","JOHNSON",0,0,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Myli","LEW",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Zoe","MILLER",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Katelyn","ROSEN",0.001,0.001,0
"Ashlee","SULLIVAN",0,0,0
"Tiana","Sumanasekera",0.001,0,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
"Hezly","RIVERA",0,0,0
