"","LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","SecondDateStr","SecondDate","DaysUntil2024"
"1","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","HB",18,3.9,8.266,0,12.166,"27 Feb 2022",2022-02-27,673
"2","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","HB",18,3.9,8.266,0,12.166,"27 Feb 2022",2022-02-27,673
"3","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","PB",23,3.9,6.9,0,10.8,"27 Feb 2022",2022-02-27,673
"4","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","PB",23,3.9,6.9,0,10.8,"27 Feb 2022",2022-02-27,673
"5","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","PH",33,4.2,6.666,0,10.866,"27 Feb 2022",2022-02-27,673
"6","AAS","Fredrik","m","NOR","24-27 Feb 2022","2022 Cottbus World Cup","qual","Cottbus, Germany","PH",33,4.2,6.666,0,10.866,"27 Feb 2022",2022-02-27,673
"7","AAS","Fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","HB",39,4.6,6.7,0,11.3,"26 Feb 2023",2023-02-26,309
"8","AAS","Fredrik","m","NOR","23-26 Feb 2023","2023 Cottbus World Cup","qual","Cottbus, Germany","PH",44,4.4,7.8,0,12.2,"26 Feb 2023",2023-02-26,309
"9","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","FX",54,4,8.566,0,12.566,"5 Aug 2023",2023-08-05,149
"10","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","HB",44,4.6,8.166,0,12.766,"5 Aug 2023",2023-08-05,149
"11","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PB",54,4.4,8.066,0,12.466,"5 Aug 2023",2023-08-05,149
"12","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","PH",58,4.4,7.266,0,11.666,"5 Aug 2023",2023-08-05,149
"13","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","SR",73,3.5,8.366,0,11.866,"5 Aug 2023",2023-08-05,149
"14","AAS","Fredrik","m","NOR","1-5 Aug 2023","2023 FISU World University Games","qual","Chengdu, China","VT",69,4,8.966,0,12.966,"5 Aug 2023",2023-08-05,149
"15","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",13,5.5,8.3,0,13.8,"6 Nov 2022",2022-11-06,421
"16","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,7.9,0,13.4,"6 Nov 2022",2022-11-06,421
"17","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,8.133,0,13.433,"6 Nov 2022",2022-11-06,421
"18","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,8.166,0,13.166,"6 Nov 2022",2022-11-06,421
"19","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","HB",NA,5.3,7.833,0,13.133,"6 Nov 2022",2022-11-06,421
"20","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,8.4,0,14.2,"6 Nov 2022",2022-11-06,421
"21","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,8.5,0,14.3,"6 Nov 2022",2022-11-06,421
"22","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,6.166,0,11.266,"6 Nov 2022",2022-11-06,421
"23","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,0,12.766,"6 Nov 2022",2022-11-06,421
"24","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","PH",NA,4.4,7.233,0,11.633,"6 Nov 2022",2022-11-06,421
"25","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,7.933,0,13.233,"6 Nov 2022",2022-11-06,421
"26","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,7.666,0,12.566,"6 Nov 2022",2022-11-06,421
"27","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","SR",NA,5.3,8.5,0,13.8,"6 Nov 2022",2022-11-06,421
"28","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,9.033,0.1,13.733,"6 Nov 2022",2022-11-06,421
"29","ABAD","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",97,4.8,9,0.3,13.5,"6 Nov 2022",2022-11-06,421
"30","ABAD","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,7.133,0.1,12.433,"21 Aug 2022",2022-08-21,498
"31","ABAD","Nestor","m","ESP","18-21 Aug 2022","2022 Senior European Championships","qual","Munich, Germany","HB",10,5.3,8.5,0,13.8,"21 Aug 2022",2022-08-21,498
