"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Simone","BILES",18.1,23.9,29.5
"Konnor","MCCLAIN",16,14.4,18.1
"Sunisa","LEE",11.7,6.1,3
"Skye","BLAKELY",3.4,0.7,0.2
"Ciena","ALIPIO",0.2,0.1,0
"Charlotte","BOOTH",0,0,0
"Jade","CAREY",0,0,0
"Dulcy","CAYLOR",0,0,0
"Jordan","CHILES",0,0,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Kayla","DICELLO",0.1,0,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Madray","JOHNSON",0,0,0
"Shilese","JONES",2.8,0.7,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Myli","LEW",0,0,0
"Kaliya","LINCOLN",0,0,0
"Lauren","LITTLE",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Zoe","MILLER",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Joscelyn","ROBERSON",1.1,0.5,0
"Katelyn","ROSEN",0,0,0
"Ashlee","SULLIVAN",0.1,0,0
"Tiana","SUMANASEKERA",1,0.2,0
"Leanne","WONG",0,0,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
