"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Simone","BILES",0.5,15.7,83.1
"Kaliya","LINCOLN",11,22.5,10.4
"Jade","CAREY",4.5,10.8,4.6
"Shilese","JONES",4.7,9.3,4.2
"Jordan","CHILES",6.5,10.8,3
"Joscelyn","ROBERSON",2.7,5.9,2.1
"Konnor","MCCLAIN",4.9,2.8,0.5
"Leanne","WONG",1.5,0.9,0.4
"Kayla","DICELLO",1.6,1,0.2
"Ciena","ALIPIO",0,0,0
"Skye","BLAKELY",0,0,0
"Charlotte","BOOTH",0,0,0
"Dulcy","CAYLOR",0,0,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Madray","JOHNSON",0,0,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Myli","LEW",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Zoe","MILLER",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Katelyn","ROSEN",0,0,0
"Ashlee","SULLIVAN",0,0,0
"Tiana","SUMANASEKERA",0,0,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
