"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Brody","MALONE",7.9,16,19.6
"Frederick","RICHARD",4,8.7,5.3
"Fred","RICHARD",3.9,5.5,2.9
"Curran","PHILLIPS",1.4,2.5,0.8
"Paul","JUDA",2.2,1.8,0.4
"Shane","WISKUS",1,0.4,0.1
"Drake","ANDREWS",0,0,0
"Michael","ARTLIP",0,0,0
"Fuzzy","BENAS",0,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Landen","BLIXT",0,0,0
"Cameron","BOCK",0,0,0
"Crew","BOLD",0,0,0
"Garrett","BRAUNTON",0,0,0
"Brandon","BRIONES",0,0,0
"Taylor","BURKHART",0,0,0
"J.R.","CHOU",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Isaiah","DRAKE",0,0,0
"Will","FLECK",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Jack","FREEMAN",0,0,0
"Ian","GUNTHER",0,0,0
"Dallas","HALE",0,0,0
"Jackson","HARRISON",0,0,0
"Kazuki","HAYASHI",0,0,0
"Asher","HONG",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","JAROH",0,0,0
"Alex","KARADZHOV",0,0,0
"Joshua","KARNES",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Riley","LOOS",0,0,0
"Evan","MANIVONG",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Yul","MOLDAUER",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Samuel","PHILLIPS",0,0,0
"Rithik","PURI",0,0,0
"Ian","SANDOVAL",0,0,0
"Garrett","SCHOOLEY",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Blake","SUN",0,0,0
"Ryan","SWATSCHENO",0,0,0
"Alex","TAPANES",0,0,0
"Colt","WALKER",0,0,0
"Donnell","WHITTENBURG",0,0,0
"Khoi","YOUNG",0,0,0
"Oliver","ZAVEL",0,0,0
