"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Curran","PHILLIPS",2.4,17.2,6.7
"Colt","WALKER",3,12.5,5.3
"Yul","MOLDAUER",1.8,10.2,4.3
"Blake","SUN",1.4,9.5,4
"J.R.","CHOU",3.4,5.5,2.7
"Shane","WISKUS",2.1,3.9,0.8
"Cameron","BOCK",1.5,2.3,0.6
"Brody","MALONE",1.6,2,0.6
"Asher","HONG",1.4,0.9,0.3
"Frederick","RICHARD",1.3,0.9,0.3
"Javier","ALFONSO",0,0,0
"Drake","ANDREWS",0,0,0
"Michael","ARTLIP",0,0,0
"Fuzzy","BENAS",0,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Landen","BLIXT",0,0,0
"Crew","BOLD",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","BURKHART",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Aidan","CUY",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Isaiah","DRAKE",0,0,0
"Will","FLECK",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Tyler","FLORES",0,0,0
"Ian","GUNTHER",0,0,0
"Dallas","HALE",0.6,0.2,0
"Kazuki","HAYASHI",0,0,0
"Patrick","HOOPES",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","JAROH",0,0,0
"Paul","JUDA",0,0,0
"Alex","KARADZHOV",0,0,0
"Joshua","KARNES",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Riley","LOOS",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0,0,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Rithik","PURI",0,0,0
"Fred","RICHARD",0,0,0
"Ian","SANDOVAL",0,0,0
"Noah","SANO",0,0,0
"Garrett","SCHOOLEY",0,0,0
"Tyler","SHIMIZU",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Alex","TAPANES",0,0,0
"Donnell","WHITTENBURG",0,0,0
"Ignacio","YOCKERS",0,0,0
"Khoi","YOUNG",0,0,0
"Oliver","ZAVEL",0,0,0
