"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Stephen","NEDOROSCIK",7.9,6,8.4
"Khoi","YOUNG",3.8,3.5,4.2
"Ian","SKIRKEY",1.7,1.1,0.2
"Drake","ANDREWS",0,0,0
"Michael","ARTLIP",0,0,0
"Fuzzy","BENAS",0,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Landen","BLIXT",0,0,0
"Cameron","BOCK",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","BURKHART",0,0,0
"J.R.","CHOU",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Brandon","DANG",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Isaiah","DRAKE",0,0,0
"Will","FLECK",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Tyler","FLORES",0,0,0
"Ian","GUNTHER",0,0,0
"Dallas","HALE",0,0,0
"Kazuki","HAYASHI",0,0,0
"Asher","HONG",0,0,0
"Patrick","HOOPES",0.7,0.1,0
"Evan","HYMANSON",0,0,0
"Michael","JAROH",0,0,0
"Paul","JUDA",0,0,0
"Alex","KARADZHOV",0,0,0
"Joshua","KARNES",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Riley","LOOS",0,0,0
"Brody","MALONE",0.8,0.2,0
"Evan","MANIVONG",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Yul","MOLDAUER",0,0,0
"Kameron","NELSON",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0,0,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Rithik","PURI",0,0,0
"Fred","RICHARD",0,0,0
"Frederick","RICHARD",0,0,0
"Ian","SANDOVAL",0,0,0
"Noah","SANO",0,0,0
"Garrett","SCHOOLEY",0,0,0
"Tyler","SHIMIZU",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Blake","SUN",0,0,0
"Alex","TAPANES",0,0,0
"Colt","WALKER",0,0,0
"Donnell","WHITTENBURG",0,0,0
"Shane","WISKUS",0,0,0
"Ignacio","YOCKERS",0.2,0.2,0
"Oliver","ZAVEL",0,0,0
