"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Khoi","YOUNG",8.9,18.9,17.1
"Asher","HONG",3.2,12.2,14.2
"Donnell","WHITTENBURG",3.4,9,7
"Dallas","HALE",13.3,15.7,6.4
"Paul","JUDA",5.3,11.7,5.1
"Taylor","BURKHART",2.8,6.5,4.6
"Curran","PHILLIPS",4.9,11.4,4.1
"Landen","BLIXT",1.5,2.9,1.5
"Yul","MOLDAUER",2,4,1.5
"Colt","WALKER",2.6,4.9,1.5
"Frederick","RICHARD",1.5,2.4,1
"Joshua","KARNES",0.7,1.7,0.8
"Brandon","BRIONES",1.9,2,0.5
"Brody","MALONE",2.6,1.5,0.4
"Riley","LOOS",0.6,0.9,0.3
"Evan","MANIVONG",1,0.8,0.3
"Kazuki","HAYASHI",1.8,2.3,0.2
"Kameron","NELSON",2.4,1.2,0.1
"Shane","WISKUS",1,0.4,0.1
"Michael","ARTLIP",0.1,0,0
"Maxim","BEREZNEV",0,0,0
"Jeremy","BISCHOFF",0,0,0
"Cameron","BOCK",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","CHRISTOPULOS",0.9,0.3,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Matt","CORMIER",0,0,0
"Aidan","CUY",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Alex","DIAB",0,0,0
"Isaiah","DRAKE",0,0.2,0
"Mike","FLETCHER",0.6,0.5,0
"Colin","FLORES",0,0,0
"Tyler","FLORES",0,0,0
"Ian","GUNTHER",0,0,0
"Jackson","HARRISON",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","JAROH",0,0,0
"Alex","KARADZHOV",0,0,0
"Anthony","KOPPIE",0,0,0
"Ian","LASIC-ELLIS",0,0,0
"Toby","LIANG",0,0,0
"Connor","MCCOOL",0,0,0
"Caleb","MELTON",0,0,0
"Izaiha","MLAY",0,0,0
"Noah","NEWFELD",0,0,0
"Brandon","NGUYEN",0.8,0.3,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Rithik","PURI",0,0,0
"Fred","RICHARD",0,0,0
"Ian","SANDOVAL",0,0,0
"Garrett","SCHOOLEY",0,0,0
"Daniel","SIMMONS",0.2,0,0
"Landon","SIMPSON",0,0,0
"Ryan","SWATSCHENO",0,0,0
"Oliver","ZAVEL",0,0,0
