"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","SecondDateStr","SecondDate","DaysUntil2024","FullName"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",13,5.5,"8.3",0,13.8,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,"7.9",0,13.4,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,"8.133",0,13.433,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,"8.166",0,13.166,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","HB",NA,5.3,"7.833",0,13.133,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,"8.4",0,14.2,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,"8.5",0,14.3,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,"6.166",0,11.266,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,"7.566",0,12.766,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","TeamFinal","Liverpool, England","PH",NA,4.4,"7.233",0,11.633,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,"7.933",0,13.233,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
"Abad","Nestor","m","ESP","29 Oct 2022 - 6 Nov 2022","2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,"7.666",0,12.566,"6 Nov 2022",2022-11-06,629,"Nestor Abad"
