"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Shilese","JONES",5.5,10.2,3.5
"Zoe","MILLER",2.2,3.1,0.8
"Ciena","ALIPIO",0,0,0
"Simone","BILES",0,0,0
"Skye","BLAKELY",0.3,0,0
"Charlotte","BOOTH",0,0,0
"Jade","CAREY",0,0,0
"Dulcy","CAYLOR",0,0,0
"Jordan","CHILES",0,0,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Kayla","DICELLO",0,0,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Olivia","GREAVES",0,0,0
"Madray","JOHNSON",0,0,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Myli","LEW",0,0,0
"Kaliya","LINCOLN",0,0,0
"Lauren","LITTLE",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Konnor","MCCLAIN",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Joscelyn","ROBERSON",0,0,0
"Katelyn","ROSEN",0,0,0
"Ashlee","SULLIVAN",0,0,0
"Tiana","SUMANASEKERA",0,0,0
"Leanne","WONG",0,0,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
