"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Simone","BILES",8.2,6.9,55.1
"Jade","CAREY",6.7,5.1,7.2
"Joscelyn","ROBERSON",1.5,1.1,0.3
"Ciena","ALIPIO",0,0,0
"Skye","BLAKELY",0,0,0
"Charlotte","BOOTH",0,0,0
"Dulcy","CAYLOR",0,0,0
"Jordan","CHILES",0.3,0.1,0
"Chloe","CHO",0,0,0
"Norah","CHRISTIAN",0,0,0
"Kayla","DICELLO",0.1,0,0
"Amelia","DISIDORE",0,0,0
"Addison","FATTA",0,0,0
"Madray","JOHNSON",0,0,0
"Shilese","JONES",0.3,0.2,0
"Katelyn","JONG",0,0,0
"Levi","JUNG-RUIVIVAR",0,0,0
"Sunisa","LEE",0,0,0
"Myli","LEW",0,0,0
"Kaliya","LINCOLN",0,0,0
"Lauren","LITTLE",0,0,0
"Eveylynn","LOWE",0,0,0
"Nola","MATTHEWS",0,0,0
"Konnor","MCCLAIN",0.3,0.1,0
"Zoe","MILLER",0,0,0
"Annalisa","MILTON",0,0,0
"Malea","MILTON",0,0,0
"Elle","MUELLER",0,0,0
"Marissa","NEAL",0,0,0
"Brooke","PIERSON",0,0,0
"Michelle","PINEDA",0,0,0
"Katelyn","ROSEN",0,0,0
"Ashlee","SULLIVAN",0,0,0
"Tiana","SUMANASEKERA",0,0,0
"Leanne","WONG",0.4,0.1,0
"Kelise","WOOLFORD",0,0,0
"Lexi","ZEISS",0,0,0
"Alicia","ZHOU",0,0,0
