"FirstName","LastName","bronze_percentage","silver_percentage","gold_percentage"
"Paul","JUDA",9.4,20.9,9
"Frederick","RICHARD",5.9,12.4,5.2
"Donnell","WHITTENBURG",4.7,8.7,5.2
"Brody","MALONE",3.3,8.8,4.7
"Yul","MOLDAUER",4.9,11.5,4.7
"Khoi","YOUNG",6.5,12.2,4.2
"Connor","MCCOOL",5.9,9.9,4
"Shane","WISKUS",3,8.3,3.7
"Matt","CORMIER",1.7,4.4,2.5
"Asher","HONG",3.9,6.1,2.3
"Javier","ALFONSO",3,3.3,0.9
"Taylor","BURKHART",3.9,3.1,0.7
"Jeremy","BISCHOFF",2.5,1.6,0.5
"Colt","WALKER",2.3,1,0.5
"Fred","RICHARD",3.3,3.6,0.4
"Jackson","HARRISON",2.9,1.8,0.3
"Riley","LOOS",1.7,0.3,0.3
"Ian","LASIC-ELLIS",1.9,0.5,0.2
"Dallas","HALE",0.6,0.8,0.1
"Joshua","KARNES",1.8,1.4,0.1
"Michael","ARTLIP",0,0,0
"Maxim","BEREZNEV",0,0,0
"Landen","BLIXT",0,0,0
"Cameron","BOCK",0,0,0
"Crew","BOLD",0,0,0
"Garrett","BRAUNTON",0,0,0
"Taylor","CHRISTOPULOS",0,0,0
"Caden","CLINTON",0,0,0
"Asher","COHEN",0,0,0
"Chase","DAVENPORT-MILLS",0,0,0
"Alex","DIAB",0,0,0
"Isaiah","DRAKE",0,0,0
"Mike","FLETCHER",0,0,0
"Colin","FLORES",0,0,0
"Jack","FREEMAN",0,0,0
"Ian","GUNTHER",0,0,0
"Kazuki","HAYASHI",0,0,0
"Evan","HYMANSON",0,0,0
"Michael","JAROH",0,0,0
"Alex","KARADZHOV",0,0,0
"Anthony","KOPPIE",0,0,0
"Toby","LIANG",0,0,0
"Evan","MANIVONG",0,0,0
"Caleb","MELTON",0,0,0
"Kameron","NELSON",0.1,0,0
"Noah","NEWFELD",0,0,0
"Zachary","NUNEZ",0,0,0
"Cole","PARTRIDGE",0,0,0
"Vahe","PETROSYAN",0,0,0
"Samuel","PHILLIPS",0,0,0
"Rithik","PURI",0,0,0
"Ian","SANDOVAL",0,0,0
"Garrett","SCHOOLEY",0,0,0
"Tyler","SHIMIZU",0,0,0
"Daniel","SIMMONS",0,0,0
"Landon","SIMPSON",0,0,0
"Ryan","SWATSCHENO",0,0,0
"Oliver","ZAVEL",0,0,0
